"emptot","emptot2","emptot_diff","nj","southj","centralj","pa1","pa2","bk","kfc","roys","wage_st","wage_st2","co_owned","closed","wagegap"
15.5,19.5,4,1,1,0,0,0,0,1,0,4.25,5.2,0,0,0.188235294117647
16.5,20,3.5,1,1,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
13.5,14.5,1,1,1,0,0,0,0,0,1,4.5,5.05,0,0,0.122222222222222
13,14.5,1.5,1,1,0,0,0,0,0,0,4.25,5.05,0,0,0.188235294117647
11.5,0,-11.5,1,0,0,0,0,1,0,0,4.35,NA,1,1,0.160919540229885
29.05,31.5,2.45,1,0,0,0,0,1,0,0,4.85,5.05,0,0,0.0412371134020619
13,11.5,-1.5,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
18,20,2,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
30,34,4,1,0,0,0,0,1,0,0,4.62,5.05,0,0,0.093073593073593
20.5,25,4.5,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
10,10,0,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
26,25,-1,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
12.5,23,10.5,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
19.5,17.5,-2,1,0,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
12,23,11,1,0,0,0,0,0,1,0,4.62,5.25,1,0,0.093073593073593
36,26,-10,1,0,0,0,0,0,0,1,4.87,5.4,1,0,0.0369609856262833
21,16.5,-4.5,1,0,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
24.5,35.5,11,1,0,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
20,31,11,1,0,0,0,0,0,0,1,4.87,5.05,1,0,0.0369609856262833
26.5,23,-3.5,1,0,0,0,0,0,0,1,4.5,5.05,1,0,0.122222222222222
15,22.5,7.5,1,0,0,0,0,0,0,1,4.25,5.05,0,0,0.188235294117647
19,21.5,2.5,1,0,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
17.5,12,-5.5,1,0,0,0,0,0,0,1,4.32,5.05,1,0,0.168981481481481
20.5,20.5,0,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
21,25,4,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
10.5,8.5,-2,1,0,1,0,0,0,1,0,4.5,5.05,0,0,0.122222222222222
23,13,-10,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
23,21.5,-1.5,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
29,23,-6,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
21,25.5,4.5,1,0,0,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
41.5,21.5,-20,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
12,9.5,-2.5,1,0,0,0,0,0,1,0,4.25,5.05,1,0,0.188235294117647
33,36.5,3.5,1,0,0,0,0,0,1,0,4.62,5.05,1,0,0.093073593073593
6.5,16,9.5,1,0,0,0,0,0,1,0,4.75,5.05,0,0,0.0631578947368421
9,23.75,14.75,1,0,0,0,0,0,1,0,4.95,5.25,1,0,0.0202020202020201
9.75,17.5,7.75,1,0,0,0,0,0,1,0,4.75,5.25,1,0,0.0631578947368421
24.5,20.5,-4,1,0,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
14,20.5,6.5,1,0,0,0,0,0,0,0,4.75,5.05,0,0,0.0631578947368421
19.5,25,5.5,1,0,0,0,0,0,0,0,4.62,5.14,0,0,0.093073593073593
